,index,sent=positive,sent=negative
280,newar,0.00044355671373419144,0.0003268505010972842
281,ta,0.004879121633293646,0.014544840189834303
282,sab,0.00022177846775621866,0.004739330059670842
283,land,0.0017742261896020275,0.0013074015141136303
284,nai,0.003992008649381755,0.012093462657293438
285,lutyo,2.2177824597797271e-10,0.0001634253322612265
286,bro,0.04679521012313049,0.00768098309871988
287,unemployment,2.2177824597797271e-10,0.0003268505010972842
288,fake,2.2177824597797271e-10,0.000490275669933342
289,politician,0.003104895665469864,0.0029416532024742073
290,sell,0.00044355671373419144,0.0006537008387693996
291,teared,2.2177824597797271e-10,0.0001634253322612265
292,listen,0.0011088914516681095,0.0006537008387693996
293,ton,0.00022177846775621866,0.0001634253322612265
294,salute,0.005766234617205537,0.0001634253322612265
295,brave,0.002217782681557973,0.0001634253322612265
296,gorkhalies,2.2177824597797271e-10,0.0001634253322612265
297,shashan,0.00022177846775621866,0.0003268505010972842
298,aantya,2.2177824597797271e-10,0.0001634253322612265
299,kasarii,2.2177824597797271e-10,0.0001634253322612265
300,tesko,0.00044355671373419144,0.000980551176441515
301,panii,2.2177824597797271e-10,0.0003268505010972842
302,banunu,2.2177824597797271e-10,0.0001634253322612265
303,top,0.003992008649381755,0.0011439763452775727
304,preparation,0.00022177846775621866,0.0001634253322612265
305,aba,0.002883117419491891,0.0049027552285069
306,feri,0.00022177846775621866,0.0021245273582939186
307,naya,0.00044355671373419144,0.0013074015141136303
308,suru,0.00044355671373419144,0.0011439763452775727
309,vako,0.0024395609275359455,0.002614802864802092
310,cha,0.0024395609275359455,0.007190707592211707
311,tyo,0.002883117419491891,0.005556455903851129
312,pani,0.006209791109161482,0.017159642891211226
313,antya,2.2177824597797271e-10,0.000490275669933342
314,hunalai,2.2177824597797271e-10,0.0003268505010972842
315,dherai,0.005100899879271619,0.005229605566179014
316,jana,0.0006653349597121642,0.0037587790466544957
317,hudai,2.2177824597797271e-10,0.0014708266829496879
318,chan,0.00022177846775621866,0.0017976770206218032
319,yespaxi,2.2177824597797271e-10,0.0001634253322612265
320,kasari,0.00022177846775621866,0.0027782280336381498
321,sasan,0.00022177846775621866,0.000980551176441515
322,ni,0.008427573568941209,0.010949486475441033
323,banau,0.0008871132056901368,0.0014708266829496879
324,lakhan,0.001552447943624055,0.0006537008387693996
325,thapa,0.002883117419491891,0.004085629384326611
326,vdo,0.00044355671373419144,0.000980551176441515
327,need,0.01774225990001606,0.004085629384326611
328,tri,2.2177824597797271e-10,0.0001634253322612265
329,agreement,0.0006653349597121642,0.0006537008387693996
330,delhi,0.00044355671373419144,0.0008171260076054573
331,rise,0.003992008649381755,0.0006537008387693996
332,bp,0.00022177846775621866,0.0001634253322612265
333,koirala,0.00044355671373419144,0.0001634253322612265
334,establishment,0.00022177846775621866,0.0003268505010972842
335,monarchy,2.2177824597797271e-10,0.0001634253322612265
336,ahile,0.0008871132056901368,0.0029416532024742073
337,sarkar,2.2177824597797271e-10,0.0017976770206218032
338,dhalna,2.2177824597797271e-10,0.0001634253322612265
339,yestai,0.0011088914516681095,0.0013074015141136303
340,uthnu,2.2177824597797271e-10,0.0001634253322612265
341,parxa,0.0013306696976460822,0.0037587790466544957
342,ra,0.005544456371227564,0.012420312994965552
343,sabai,0.0024395609275359455,0.007517557929883822
344,janta,0.00022177846775621866,0.003268503540146323
345,saath,0.00022177846775621866,0.000490275669933342
346,hunu,0.00199600443558,0.0027782280336381498
347,country,0.014859142702302416,0.012256887826129496
348,aankha,2.2177824597797271e-10,0.0001634253322612265
349,bata,0.0011088914516681095,0.005229605566179014
350,aasu,2.2177824597797271e-10,0.0001634253322612265
351,bad,0.002883117419491891,0.0049027552285069
352,misinformation,2.2177824597797271e-10,0.0001634253322612265
353,hate,0.0013306696976460822,0.003268503540146323
354,did,2.2177824597797271e-10,0.0001634253322612265
355,not,2.2177824597797271e-10,0.0021245273582939186
356,data,0.0011088914516681095,0.0006537008387693996
357,wrong,0.0013306696976460822,0.0016342518517857456
358,poor,0.001552447943624055,0.0027782280336381498
359,wasnt,2.2177824597797271e-10,0.000490275669933342
360,watch,0.0141938079643685,0.0011439763452775727
361,was,2.2177824597797271e-10,0.0001634253322612265
362,are,2.2177824597797271e-10,0.0001634253322612265
363,arent,0.00044355671373419144,0.000980551176441515
364,right,0.007540460585029317,0.003268503540146323
365,isnt,0.0008871132056901368,0.0008171260076054573
366,is,2.2177824597797271e-10,0.0001634253322612265
367,good,0.045020984155306705,0.006046731410359303
368,raja,0.00022177846775621866,0.0011439763452775727
369,lay,2.2177824597797271e-10,0.0014708266829496879
370,birod,2.2177824597797271e-10,0.0003268505010972842
371,garay,2.2177824597797271e-10,0.0001634253322612265
372,gara,0.00022177846775621866,0.000980551176441515
373,k,0.009536464798831072,0.010459210968932861
374,bhayo,0.00044355671373419144,0.0017976770206218032
375,baray,2.2177824597797271e-10,0.0001634253322612265
376,documentary,0.0017742261896020275,0.0006537008387693996
377,banauna,0.0024395609275359455,0.0014708266829496879
378,paryo,0.004657343387315673,0.003595353877818438
379,episode,0.0017742261896020275,0.0001634253322612265
380,it,0.0011088914516681095,0.000490275669933342
381,s,0.002883117419491891,0.0011439763452775727
382,bhoto,0.0006653349597121642,0.0001634253322612265
383,jatra,0.0006653349597121642,0.0001634253322612265
384,bhote,2.2177824597797271e-10,0.0003268505010972842
385,destroy,0.0006653349597121642,0.0016342518517857456
386,twsko,2.2177824597797271e-10,0.0001634253322612265
387,chaiyo,0.0017742261896020275,0.0003268505010972842
388,start,0.0024395609275359455,0.0017976770206218032
389,prithivi,0.0006653349597121642,0.0001634253322612265
390,narayan,0.0011088914516681095,0.0006537008387693996
391,shah,0.0008871132056901368,0.0014708266829496879
392,son,2.2177824597797271e-10,0.0003268505010972842
393,grandson,2.2177824597797271e-10,0.0001634253322612265
394,suppose,0.00022177846775621866,0.0001634253322612265
395,power,0.002883117419491891,0.002614802864802092
396,come,0.007318682339051345,0.003105078371310265
397,heard,0.0011088914516681095,0.0006537008387693996
398,thing,0.007984017076985263,0.004575904890834784
399,many,0.007318682339051345,0.006537006916867476
400,unknown,0.0011088914516681095,0.0001634253322612265
401,haina,2.2177824597797271e-10,0.0016342518517857456
402,hola,0.0026613391735139185,0.0057198810726871874
403,recap,0.00022177846775621866,0.0003268505010972842
404,bhanera,0.00022177846775621866,0.0014708266829496879
405,sano,2.2177824597797271e-10,0.0014708266829496879
406,could,0.004213786895359728,0.002287952527129976
407,better,0.0024395609275359455,0.000490275669933342
408,recall,0.00022177846775621866,0.0001634253322612265
409,pre,2.2177824597797271e-10,0.000490275669933342
410,freedom,0.00199600443558,0.0008171260076054573
411,free,0.005100899879271619,0.002614802864802092
412,banking,2.2177824597797271e-10,0.000490275669933342
413,business,0.003992008649381755,0.006046731410359303
414,bank,0.0006653349597121642,0.004085629384326611
415,frauding,2.2177824597797271e-10,0.0001634253322612265
416,truth,0.0037702304034037824,0.0016342518517857456
417,bhetina,2.2177824597797271e-10,0.0001634253322612265
418,maile,0.00199600443558,0.003268503540146323
419,mcc,2.2177824597797271e-10,0.0003268505010972842
420,alli,2.2177824597797271e-10,0.0003268505010972842
421,garera,0.0008871132056901368,0.004085629384326611
422,halnus,2.2177824597797271e-10,0.0003268505010972842
423,hai,0.0037702304034037824,0.0029416532024742073
424,rabi,0.0024395609275359455,0.0003268505010972842
425,dai,0.016189812178170254,0.006537006916867476
426,struggle,0.0017742261896020275,0.0011439763452775727
427,r,0.0024395609275359455,0.0021245273582939186
428,aaile,0.00022177846775621866,0.0014708266829496879
429,vaira,2.2177824597797271e-10,0.0003268505010972842
430,banaunus,2.2177824597797271e-10,0.0006537008387693996
431,magh,0.0013306696976460822,0.0014708266829496879
432,gatey,2.2177824597797271e-10,0.0003268505010972842
433,birthday,0.00044355671373419144,0.0001634253322612265
434,always,0.01264136024252269,0.003922204215490554
435,aiile,2.2177824597797271e-10,0.0001634253322612265
436,aso,2.2177824597797271e-10,0.0001634253322612265
437,vairaxa,0.00022177846775621866,0.0001634253322612265
438,distract,2.2177824597797271e-10,0.0001634253322612265
439,depress,2.2177824597797271e-10,0.0001634253322612265
440,hell,0.00044355671373419144,0.0011439763452775727
441,ragat,0.00022177846775621866,0.0001634253322612265
442,tyag,2.2177824597797271e-10,0.0001634253322612265
443,faida,0.00022177846775621866,0.000490275669933342
444,vaneko,0.00022177846775621866,0.0011439763452775727
445,bhrastacari,2.2177824597797271e-10,0.0001634253322612265
446,lagi,0.0017742261896020275,0.0037587790466544957
447,matra,0.0013306696976460822,0.004412479721998727
448,ustai,2.2177824597797271e-10,0.0003268505010972842
449,pida,2.2177824597797271e-10,0.000490275669933342
450,avab,2.2177824597797271e-10,0.0001634253322612265
451,lee,2.2177824597797271e-10,0.0003268505010972842
452,kahile,0.00022177846775621866,0.0016342518517857456
453,dekhii,2.2177824597797271e-10,0.0001634253322612265
454,loan,0.00022177846775621866,0.004085629384326611
455,dilaa,2.2177824597797271e-10,0.0001634253322612265
456,banaunun,2.2177824597797271e-10,0.0001634253322612265
457,nu,2.2177824597797271e-10,0.0008171260076054573
458,sajilo,0.00022177846775621866,0.0014708266829496879
459,channle,2.2177824597797271e-10,0.0001634253322612265
460,vaya,2.2177824597797271e-10,0.000490275669933342
461,ramro,0.008871130060897153,0.00833468377406411
462,tah,0.0008871132056901368,0.000980551176441515
463,akai,2.2177824597797271e-10,0.0001634253322612265
464,gasara,2.2177824597797271e-10,0.0001634253322612265
465,launu,0.00044355671373419144,0.0003268505010972842
466,ne,0.00044355671373419144,0.0016342518517857456
467,sjilo,2.2177824597797271e-10,0.0001634253322612265
468,heerna,2.2177824597797271e-10,0.0001634253322612265
469,lai,0.008205795322963236,0.019284170086079976
470,nee,2.2177824597797271e-10,0.000490275669933342
471,secomd,2.2177824597797271e-10,0.0001634253322612265
472,kahely,2.2177824597797271e-10,0.0001634253322612265
473,kahaelya,2.2177824597797271e-10,0.0001634253322612265
474,anime,2.2177824597797271e-10,0.0001634253322612265
475,jaso,2.2177824597797271e-10,0.0003268505010972842
476,xai,2.2177824597797271e-10,0.000490275669933342
477,garum,0.00022177846775621866,0.0001634253322612265
478,un,2.2177824597797271e-10,0.0003268505010972842
479,correct,0.00022177846775621866,0.0006537008387693996
480,thumbnail,0.0037702304034037824,0.0011439763452775727
481,middle,2.2177824597797271e-10,0.0016342518517857456
482,weird,2.2177824597797271e-10,0.0001634253322612265
